Cement,Sand,Water,√t/√s,Bacteria,Fiber,Water absorption
600,1200,270,0,0,0,0
600,1200,270,1.54,0,0,0.05812
600,1200,270,3.08,0,0,0.11624
600,1200,270,4.62,0,0,0.17437
600,1200,270,6.16,0,0,0.23249
600,1200,270,7.7,0,0,0.29061
600,1200,270,9.624,0,0,0.33431
600,1200,270,11.548,0,0,0.37801
600,1200,270,13.472,0,0,0.42171
600,1200,270,15.396,0,0,0.46541
600,1200,270,17.32,0,0,0.50911
600,1200,270,18.754,0,0,0.53042
600,1200,270,20.188,0,0,0.55173
600,1200,270,21.622,0,0,0.57304
600,1200,270,23.056,0,0,0.59435
600,1200,270,24.49,0,0,0.61566
600,1200,270,26.52,0,0,0.63716
600,1200,270,28.55,0,0,0.65866
600,1200,270,30.58,0,0,0.68015
600,1200,270,32.61,0,0,0.70165
600,1200,270,34.64,0,0,0.72315
600,1200,270,36.198,0,0,0.74561
600,1200,270,37.756,0,0,0.76808
600,1200,270,39.314,0,0,0.79054
600,1200,270,40.872,0,0,0.81301
600,1200,270,42.43,0,0,0.83547
600,1200,270,45.944,0,0,0.85414
600,1200,270,49.458,0,0,0.8728
600,1200,270,52.972,0,0,0.89147
600,1200,270,56.486,0,0,0.91013
600,1200,270,60,0,0,0.9288
600,1200,270,64.97,0,0,0.95299
600,1200,270,69.94,0,0,0.97718
600,1200,270,74.91,0,0,1.00138
600,1200,270,79.88,0,0,1.02557
600,1200,270,84.85,0,0,1.04976
600,1200,270,88.664,0,0,1.05936
600,1200,270,92.478,0,0,1.06896
600,1200,270,96.292,0,0,1.07855
600,1200,270,100.106,0,0,1.08815
600,1200,270,103.92,0,0,1.09775
600,1200,270,107.136,0,0,1.11351
600,1200,270,110.352,0,0,1.12928
600,1200,270,113.568,0,0,1.14504
600,1200,270,116.784,0,0,1.16081
600,1200,270,120,0,0,1.17657
600,1200,270,122.832,0,0,1.1928
600,1200,270,125.664,0,0,1.20903
600,1200,270,128.496,0,0,1.22527
600,1200,270,131.328,0,0,1.2415
600,1200,270,134.16,0,0,1.25773
600,1200,270,136.722,0,0,1.27736
600,1200,270,139.284,0,0,1.29699
600,1200,270,141.84601,0,0,1.31663
600,1200,270,144.408,0,0,1.33626
600,1200,270,146.97,0,0,1.35589
600,1200,270,159.146,0,0,1.44646
600,1200,270,171.32201,0,0,1.53703
600,1200,270,183.498,0,0,1.62759
600,1200,270,195.67401,0,0,1.71816
600,1200,270,207.85,0,0,1.80873
600,1200,170,0,1,0,0
600,1200,170,1.54,1,0,0.02874
600,1200,170,3.08,1,0,0.05748
600,1200,170,4.62,1,0,0.08622
600,1200,170,6.16,1,0,0.11496
600,1200,170,7.7,1,0,0.1437
600,1200,170,9.624,1,0,0.16772
600,1200,170,11.548,1,0,0.19175
600,1200,170,13.472,1,0,0.21577
600,1200,170,15.396,1,0,0.2398
600,1200,170,17.32,1,0,0.26382
600,1200,170,18.754,1,0,0.27643
600,1200,170,20.188,1,0,0.28904
600,1200,170,21.622,1,0,0.30164
600,1200,170,23.056,1,0,0.31425
